Input, Pallindrome, Runs
164, 2662, 3
165, 4884, 3
166, 45254, 5
167, 88555588, 11
168, 13431, 3
169, 1441, 2
170, 383, 2
171, 585, 2
172, 787, 2
173, 989, 2
174, 5115, 4
175, 9559, 4
176, 44044, 5
177, 8836886388, 15
178, 15851, 3
179, 1661, 2
180, 747, 3
181, 2662, 4
182, 45254, 6
183, 13431, 4
184, 2552, 3
185, 4774, 3
186, 6996, 3
187, 8813200023188, 23
188, 233332, 7
189, 1881, 2
190, 45254, 7
191, 2552, 4
192, 6996, 4
193, 233332, 8
194, 2992, 3
195, 9339, 4
196, 0, 40
197, 881188, 7
198, 79497, 5
199, 3113, 3
200, 202, 1
201, 303, 1
202, 404, 1
203, 505, 1
204, 606, 1
205, 707, 1
206, 808, 1
207, 909, 1
208, 1111, 2
209, 1111, 1
210, 222, 1
211, 323, 1
212, 424, 1
213, 525, 1
214, 626, 1
215, 727, 1
216, 828, 1
217, 929, 1
218, 1331, 2
219, 2442, 2
220, 242, 1
221, 343, 1
222, 444, 1
223, 545, 1
224, 646, 1
225, 747, 1
226, 848, 1
227, 949, 1
228, 1551, 2
229, 2662, 2
230, 262, 1
231, 363, 1
232, 464, 1
233, 565, 1
234, 666, 1
235, 767, 1
236, 868, 1
237, 969, 1
238, 1771, 2
239, 2882, 2
240, 282, 1
241, 383, 1
242, 484, 1
243, 585, 1
244, 686, 1
245, 787, 1
246, 888, 1
247, 989, 1
248, 1991, 2
249, 5115, 3
250, 505, 2
251, 707, 2
252, 909, 2
253, 1111, 2
254, 4444, 3
255, 6666, 3
256, 8888, 3
257, 11011, 3
258, 1221, 2
259, 2332, 2
260, 545, 2
261, 747, 2
262, 949, 2
263, 2662, 3
264, 4884, 3
265, 45254, 5
266, 88555588, 11
267, 13431, 3
268, 1441, 2
269, 2552, 2
270, 585, 2
271, 787, 2
272, 989, 2
273, 5115, 4
274, 9559, 4
275, 44044, 5
276, 8836886388, 15
277, 15851, 3
278, 1661, 2
279, 2772, 2
280, 2662, 4
281, 45254, 6
282, 13431, 4
283, 2552, 3
284, 4774, 3
285, 6996, 3
286, 8813200023188, 23
287, 233332, 7
288, 1881, 2
289, 2992, 2
290, 2552, 4
291, 6996, 4
292, 233332, 8
293, 2992, 3
294, 9339, 4
295, 0, 40
296, 881188, 7
297, 79497, 5
298, 3113, 3
299, 5335, 3
300, 303, 1
301, 404, 1
302, 505, 1
303, 606, 1
304, 707, 1
305, 808, 1
306, 909, 1
307, 1111, 2
308, 1111, 1
309, 3333, 2
310, 323, 1
311, 424, 1
312, 525, 1
313, 626, 1
314, 727, 1
315, 828, 1
316, 929, 1
317, 1331, 2
318, 2442, 2
319, 3553, 2
320, 343, 1
321, 444, 1
322, 545, 1
323, 646, 1
324, 747, 1
325, 848, 1
326, 949, 1
327, 1551, 2
328, 2662, 2
329, 3773, 2
330, 363, 1
331, 464, 1
332, 565, 1
333, 666, 1
334, 767, 1
335, 868, 1
336, 969, 1
337, 1771, 2
338, 2882, 2
339, 3993, 2
340, 383, 1
341, 484, 1
342, 585, 1
343, 686, 1
344, 787, 1
345, 888, 1
346, 989, 1
347, 1991, 2
348, 5115, 3
349, 7337, 3
350, 707, 2
351, 909, 2
352, 1111, 2
353, 4444, 3
354, 6666, 3
355, 8888, 3
356, 11011, 3
357, 1221, 2
358, 2332, 2
359, 3443, 2
360, 747, 2
361, 949, 2
362, 2662, 3
363, 4884, 3
364, 45254, 5
365, 88555588, 11
366, 13431, 3
367, 1441, 2
368, 2552, 2
369, 3663, 2
370, 787, 2
371, 989, 2
372, 5115, 4
373, 9559, 4
374, 44044, 5
375, 8836886388, 15
376, 15851, 3
377, 1661, 2
378, 2772, 2
379, 3883, 2
380, 45254, 6
381, 13431, 4
382, 2552, 3
383, 4774, 3
384, 6996, 3
385, 8813200023188, 23
386, 233332, 7
387, 1881, 2
388, 2992, 2
389, 7117, 3
390, 6996, 4
391, 233332, 8
392, 2992, 3
393, 9339, 4
394, 0, 40
395, 881188, 7
396, 79497, 5
397, 3113, 3
398, 5335, 3
399, 7557, 3
400, 404, 1
401, 505, 1
402, 606, 1
403, 707, 1
404, 808, 1
405, 909, 1
406, 1111, 2
407, 1111, 1
408, 3333, 2
409, 4444, 2
410, 424, 1
411, 525, 1
412, 626, 1
413, 727, 1
414, 828, 1
415, 929, 1
416, 1331, 2
417, 2442, 2
418, 3553, 2
419, 4664, 2
420, 444, 1
421, 545, 1
422, 646, 1
423, 747, 1
424, 848, 1
425, 949, 1
426, 1551, 2
427, 2662, 2
428, 3773, 2
429, 4884, 2
430, 464, 1
431, 565, 1
432, 666, 1
433, 767, 1
434, 868, 1
435, 969, 1
436, 1771, 2
437, 2882, 2
438, 3993, 2
439, 9119, 3
440, 484, 1
441, 585, 1
442, 686, 1
443, 787, 1
444, 888, 1
445, 989, 1
446, 1991, 2
447, 5115, 3
448, 7337, 3
449, 9559, 3
450, 909, 2
451, 1111, 2
452, 4444, 3
453, 6666, 3
454, 8888, 3
455, 11011, 3
456, 1221, 2
457, 2332, 2
458, 3443, 2
459, 4554, 2
460, 949, 2
461, 2662, 3
462, 4884, 3
463, 45254, 5
464, 88555588, 11
465, 13431, 3
466, 1441, 2
467, 2552, 2
468, 3663, 2
469, 4774, 2
470, 989, 2
471, 5115, 4
472, 9559, 4
473, 44044, 5
474, 8836886388, 15
475, 15851, 3
476, 1661, 2
477, 2772, 2
478, 3883, 2
479, 4994, 2
480, 13431, 4
481, 2552, 3
482, 4774, 3
483, 6996, 3
484, 8813200023188, 23
485, 233332, 7
486, 1881, 2
487, 2992, 2
488, 7117, 3
489, 9339, 3
490, 233332, 8
491, 2992, 3
492, 9339, 4
493, 0, 40
494, 881188, 7
495, 79497, 5
496, 3113, 3
497, 5335, 3
498, 7557, 3
499, 9779, 3
500, 505, 1
501, 606, 1
502, 707, 1
503, 808, 1
504, 909, 1
505, 1111, 2
506, 1111, 1
507, 3333, 2
508, 4444, 2
509, 5555, 2
510, 525, 1
511, 626, 1
512, 727, 1
513, 828, 1
514, 929, 1
515, 1331, 2
516, 2442, 2
517, 3553, 2
518, 4664, 2
519, 5775, 2
520, 545, 1
521, 646, 1
522, 747, 1
523, 848, 1
524, 949, 1
525, 1551, 2
526, 2662, 2
527, 3773, 2
528, 4884, 2
529, 5995, 2
530, 565, 1
531, 666, 1
532, 767, 1
533, 868, 1
534, 969, 1
535, 1771, 2
536, 2882, 2
537, 3993, 2
538, 9119, 3
539, 25652, 4
540, 585, 1
541, 686, 1
542, 787, 1
543, 888, 1
544, 989, 1
545, 1991, 2
546, 5115, 3
547, 7337, 3
548, 9559, 3
549, 59895, 5
550, 1111, 2
551, 4444, 3
552, 6666, 3
553, 8888, 3
554, 11011, 3
555, 1221, 2
556, 2332, 2
557, 3443, 2
